,timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassX,compassY,compassZ,fusionPoseX,fusionPoseY,fusionPoseZ,tiltHeading,pressure,temperature,humidity,dt
136,2023-04-24T23:21:42.591Z,-0.0617319978773593,-0.0968680009245872,-1.0091840028762815,0.0138527303934097,0.0018766913563013,-0.0038217902183532,-64.84188079833984,33.22222137451172,-40.80278396606445,-2.9663381576538086,-0.0173444785177707,2.65057635307312,2.607069492340088,1006.6298828125,42.48261642456055,16.405086517333984,6.819
138,2023-04-24T23:21:42.691Z,0.0012199999764561,-0.0961359962821006,-1.011379957199097,0.0111038386821746,0.0009603928774595,-0.006265252828598,-64.77870178222656,33.126976013183594,-41.09822845458984,-2.9668636322021484,-0.0172009076923131,2.6506571769714355,2.624483346939087,1006.62890625,42.44619369506836,16.41777229309082,6.9190000000000005
140,2023-04-24T23:21:42.791Z,-0.0007319999858736,-0.0980879962444305,-1.0091840028762815,0.0058121308684349,0.0018451511859893,-0.005559355020523,-64.70576477050781,33.13478088378906,-41.16938400268555,-2.967853784561157,-0.0170938149094581,2.6506121158599854,2.622412204742432,1006.637451171875,42.48261642456055,16.301063537597656,7.019
142,2023-04-24T23:21:42.892Z,0.002195999957621,-0.0956479981541633,-1.0082080364227295,0.0111198313534259,0.0021144375205039,-0.005165621638298,-64.65301513671875,33.26422500610352,-41.01910781860352,-2.9683401584625244,-0.0170677173882722,2.6505286693573,2.622465133666992,1006.64794921875,42.55546188354492,16.306137084960938,7.12
144,2023-04-24T23:21:42.993Z,-0.0002439999952912,-0.0973559990525245,-1.0086959600448608,0.009731750935316,0.0008777044713497,-0.0071808993816375,-64.599609375,33.21657943725586,-40.69728469848633,-2.9689228534698486,-0.0169079303741455,2.6506519317626958,2.621702194213867,1006.64697265625,42.409767150878906,16.597909927368164,7.221
146,2023-04-24T23:21:43.094Z,0.0004879999905824,-0.0968680009245872,-1.0084519386291504,0.0086672902107238,0.0005626529455184,-0.0040572136640548,-64.66328430175781,33.2176628112793,-40.79542922973633,-2.969606876373291,-0.0166814941912889,2.650484561920166,2.6223833560943604,1006.64794921875,42.46440505981445,16.425382614135742,7.322
148,2023-04-24T23:21:43.195Z,-0.0002439999952912,-0.0971119999885559,-1.010892033576965,0.0097228176891803,0.0017543938010931,-0.0063914209604263,-64.62462615966797,33.24652862548828,-40.70314407348633,-2.970177173614502,-0.0165997333824634,2.6505138874053955,2.62170958518982,1006.65869140625,42.519039154052734,16.47866439819336,7.423
150,2023-04-24T23:21:43.296Z,-0.0004879999905824,-0.0971119999885559,-1.0091840028762815,0.0116615034639835,0.0011243093758821,-0.0101878941059112,-64.58810424804688,33.247222900390625,-40.66011428833008,-2.97054386138916,-0.0165178980678319,2.65091872215271,2.621375560760498,1006.662841796875,42.48261642456055,16.559852600097656,7.524
152,2023-04-24T23:21:43.395Z,-0.0614879988133907,-0.0973559990525245,-1.0104039907455444,0.0098289139568805,0.0014297422021627,-0.006828136742115,-64.77728271484375,33.17498016357422,-40.65649032592773,-2.971066236495972,-0.0151955112814903,2.650734663009644,2.6073365211486816,1006.657958984375,42.48261642456055,15.28367042541504,7.623
154,2023-04-24T23:21:43.495Z,0.0024399999529123,-0.0773480013012886,-1.0099159479141235,-0.2061119526624679,0.0069275293499231,-0.0028575137257575,-64.7550277709961,33.17318344116211,-40.4799919128418,-2.993160486221313,-0.0156422089785337,2.6505544185638428,2.632822036743164,1006.6630859375,42.409767150878906,16.28330421447754,7.723
